system_id,name,latitude,longitude,elevation,tracking,azimuth,tilt,file_id,file_name,timezone,data_sampling_frequency,issue,number_days
5138,Palmdale  Marie Kerr Pool,34.603666,-118.182041,2707.0,False,180.0,7.0,389,5138_ac_power_inv_2546.csv,Etc/GMT+8,15,clipping,2706
5138,Palmdale  Marie Kerr Pool,34.603666,-118.182041,2707.0,False,180.0,7.0,390,5138_ac_power_inv_2544.csv,Etc/GMT+8,15,clipping,2706
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,391,5150_ac_power_inv_2649.csv,Etc/GMT+7,15,clipping,2720
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,392,5150_ac_power_inv_2642.csv,Etc/GMT+7,15,clipping,2722
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,393,5150_ac_power_inv_2639.csv,Etc/GMT+7,15,clipping,2626
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,394,5150_ac_power_inv_2640.csv,Etc/GMT+7,15,clipping,2719
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,395,5150_ac_power_inv_2637.csv,Etc/GMT+7,15,clipping,2719
5150,Peoria  Liberty HS,33.6855539,-112.2661668,1296.0,False,180.0,13.5,396,5150_ac_power_inv_2646.csv,Etc/GMT+7,15,clipping,2719
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507.0,False,180.0,12.0,397,5159_ac_power_inv_2720.csv,Etc/GMT+7,15,clipping,2646
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507.0,False,180.0,12.0,398,5159_ac_power_inv_2717.csv,Etc/GMT+7,15,clipping,2629
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507.0,False,180.0,12.0,399,5159_ac_power_inv_2718.csv,Etc/GMT+7,15,clipping,2517
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507.0,False,180.0,12.0,400,5159_ac_power_inv_2716.csv,Etc/GMT+7,15,clipping,2563
5159,TUSD Mary Meredith ES,32.2312025,-110.8823651,2507.0,False,180.0,12.0,402,5159_ac_power_inv_2715.csv,Etc/GMT+7,15,clipping,2651
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,403,5162_ac_power_inv_2770.csv,Etc/GMT+8,15,clipping,2495
5162,Chaffey - Etiwanda East,34.128339,-117.511124,1375.0,False,180.0,7.49,404,5162_ac_power_inv_2759.csv,Etc/GMT+8,15,clipping,2506
